fy,revenue,cogs,sga,operating_income,interest_expense,pretax_income,tax_expense,net_income,total_assets,total_liabilities,total_equity,cash,receivables,inventory,payables,ppe_net,capex,da,current_assets,current_liabilities,long_term_debt,short_term_debt,balance_check
2016,62799000000.0,28222000000.0,24773000000.0,9804000000.0,1342000000.0,8553000000.0,2174000000.0,6329000000.0,73490000000.0,62291000000.0,11199000000.0,9158000000.0,6694000000.0,2723000000.0,6158000000.0,16591000000.0,3040000000.0,2368000000.0,26450000000.0,21135000000.0,30053000000.0,6892000000.0,
2017,63525000000.0,28796000000.0,24453000000.0,10276000000.0,1151000000.0,9602000000.0,4694000000.0,4857000000.0,79804000000.0,68823000000.0,10981000000.0,10610000000.0,7024000000.0,2947000000.0,6727000000.0,17240000000.0,2969000000.0,2369000000.0,31027000000.0,20502000000.0,33796000000.0,5485000000.0,
2018,64661000000.0,29381000000.0,25170000000.0,10110000000.0,1219000000.0,9189000000.0,-3370000000.0,12515000000.0,77648000000.0,63046000000.0,14602000000.0,8721000000.0,7142000000.0,3128000000.0,7213000000.0,17589000000.0,3282000000.0,2399000000.0,21893000000.0,22138000000.0,28295000000.0,4026000000.0,
2019,67161000000.0,30132000000.0,26738000000.0,10291000000.0,935000000.0,9312000000.0,1959000000.0,7314000000.0,78547000000.0,63679000000.0,14868000000.0,5509000000.0,7822000000.0,3338000000.0,8013000000.0,19305000000.0,4232000000.0,2432000000.0,17645000000.0,20461000000.0,29148000000.0,2920000000.0,
2020,70372000000.0,31797000000.0,28453000000.0,10080000000.0,1128000000.0,9069000000.0,1894000000.0,7120000000.0,92918000000.0,79366000000.0,13552000000.0,8185000000.0,8404000000.0,4172000000.0,8853000000.0,21369000000.0,4240000000.0,2548000000.0,23001000000.0,23372000000.0,40370000000.0,3780000000.0,
2021,79474000000.0,37075000000.0,31237000000.0,11162000000.0,1863000000.0,9821000000.0,2142000000.0,7618000000.0,92377000000.0,76226000000.0,16151000000.0,5596000000.0,8680000000.0,4347000000.0,9834000000.0,22407000000.0,4625000000.0,2710000000.0,21783000000.0,26220000000.0,36026000000.0,4308000000.0,
2022,86392000000.0,40576000000.0,34459000000.0,11512000000.0,939000000.0,10705000000.0,1727000000.0,8910000000.0,92187000000.0,74914000000.0,17273000000.0,4954000000.0,10163000000.0,5222000000.0,10732000000.0,24291000000.0,5207000000.0,2763000000.0,21539000000.0,26785000000.0,35657000000.0,3414000000.0,
2023,91471000000.0,41881000000.0,36677000000.0,11986000000.0,819000000.0,11417000000.0,2262000000.0,9074000000.0,100495000000.0,81858000000.0,18637000000.0,9711000000.0,10815000000.0,5334000000.0,11635000000.0,27039000000.0,5518000000.0,2948000000.0,26950000000.0,31647000000.0,37595000000.0,6510000000.0,
2024,91854000000.0,41744000000.0,37190000000.0,12887000000.0,919000000.0,11946000000.0,2320000000.0,9578000000.0,99467000000.0,81296000000.0,18171000000.0,8505000000.0,10333000000.0,5306000000.0,10997000000.0,28008000000.0,5318000000.0,3160000000.0,25826000000.0,31536000000.0,37224000000.0,7082000000.0,
2025,93925000000.0,43066000000.0,37368000000.0,11498000000.0,1121000000.0,10244000000.0,1949000000.0,8240000000.0,107399000000.0,86852000000.0,20547000000.0,9159000000.0,11506000000.0,5845000000.0,11704000000.0,29905000000.0,4415000000.0,3451000000.0,27949000000.0,32764000000.0,42321000000.0,6861000000.0,
2026,96602611874.02684,44142115036.12783,38760175763.98,13700321073.919006,947122032.6945121,12753199041.224495,2476631208.9052825,10276567832.319212,111073359256.39384,80249791424.07463,30823567832.319214,11077023319.841484,11374311301.923246,5741283251.743375,11962791424.074635,31896741382.885742,5320451529.754722,3328710146.868981,,,42321000000.0,0.0,0.0
2027,99356557049.60204,45400517499.427216,39865150018.59805,14090889531.576767,876105735.236319,13214783796.340448,2566269518.977899,10648514277.362549,122062908533.6351,80590826423.95335,41472082109.68176,19530119693.465233,11698569923.173256,5904955630.843928,12303826423.953354,33945263286.152695,5472126847.202211,3423604943.935257,,,42321000000.0,0.0,-1.52587890625e-05
2028,102189011634.83961,46694794473.00645,41001624855.43233,14492592306.40084,876105735.236319,13616486571.164522,2644278936.506572,10972207634.657951,133385873386.59216,80941583642.25244,52444289744.339714,28244322498.140015,12032072502.20357,6073293978.597447,12654583642.252449,36052184407.65113,5628126121.327841,3521204999.829407,,,42321000000.0,0.0,0.0
2029,105102213774.29677,48025968666.630775,42170498292.401184,14905746815.264809,876105735.236319,14029641080.02849,2724512244.827477,11305128835.201014,145051758819.30566,81302340239.76495,63749418579.540726,37227075350.37013,12375082565.563185,6246431312.337647,13015340239.764944,38219169591.034706,5788572619.395321,3621587436.0117426,,,42321000000.0,0.0,0.0
2030,108098465417.50746,49395091945.45336,43372693948.098404,15330679523.955696,876105735.236319,14454573788.719378,2807032842.571356,11647540946.148022,157070340804.2665,81673381278.57776,75396959525.68875,46486034069.11864,12727871152.410292,6424504441.45352,13386381278.577763,40447931141.284065,5953593122.768859,3724831572.519504,,,42321000000.0,0.0,0.0
